name,type,abv
Corazon Reposado Tequila,Tequila,
Corner Creek 10 Years Reserve Bourbon,Bourbon,
"Corralejo 90,000 Horas Anejo Tequila",Tequila,
Corralejo Anejo,Tequila,
Corralejo Blanco Tequila,Tequila,
Corralejo Reposado Tequila,Tequila,
Corraleuo Tequila Silver,Tequila,
Corsair Barrel Aged Gin,Gin,
Corsair Gin,Gin,
Corsair Triple Smoke American Single Malt Whiskey,Whiskey,
Corzo Anejo,Tequila,
Corzo Silver Tequila,Tequila,
Corzo Tequila Anejo,Tequila,
Cotswolds Dry Gin,Gin,
Cotton & Reed Dry Spiced Rum,Rum,
Crabbie's Yardhead' Single Malt Scotch Whiskey,Scotch,
Cragganmore 12 Years Speyside Malt,Whisky,
Cragganmore 2008 De Speyside Malt,Whisky,
Cragganmore De Speyside Malt,Whisky,
Cragganmore De Speyside Malt 2008,Whisky,
Craigellachie 13 Year Old Single Malt Scotch Whisky,Scotch,
Craigellachie 23 Years Old,Scotch,
Cranberry Juice Cocktail,Other,
Crème Anglaise,Liqueur,
Creme de Cacao,Liqueur,
Creme de Cacao Dark,Liqueur,
Crème de Cacao Dark,Liqueur,
Creme de Cacao White,Liqueur,
Crème de Cassis (Blackcurrant) Liqueur,Liqueur,
Creme de Cassis Blackcurrant Liqueur,Liqueur,
Creme de Fraise Strawberry Liqueur,Liqueur,
Creme de Menthe Dried Peppermint Liqueur,Liqueur,
Creme de Noyaux,Liqueur,
Cristalino Tequila,Tequila,
Crop Harvest Spiced Pumpkin Vodka,Vodka,
Crown Royal Apple,Whisky,
Crown Royal Black Blended Canadian Whisky,Whisky,
Crown Royal Black Canadian Whisky,Whisky,
Crown Royal Blenders Mash,Whisky,
Crown Royal Canadian Whisky,Whisky,
Crown Royal Northern Harvest Rye,Whisky,
Crown Royal Peach Canadian Whiskey,Whiskey,
Crown Royal Regal Apple,Whisky,
Crown Royal Regular,Whisky,
Crown Royal Reserve Blended Whisky,Whisky,
Crown Royal Reserve Canadian Whisky,Whisky,
Crown Royal Vanilla,Whisky,
Crown Royal Vanilla Whisky,Whisky,
Cruz Del Sol Silver Rainbow Bottle,Tequila,
Cruzan Aged Dark Rum,Rum,
Cruzan Aged Light,Rum,
Cruzan Banana Rum,Rum,
Crystal Head Blue Agave Vodka,Vodka,
Crystal Head Vodka with Shot Glass,Vodka,
Crystal Palace Gin,Gin,
Cuesta Mesa Gold Tequila,Tequila,
Cupcake Devil's Food Chocolate Vodka,Vodka,
